strain	collection_date	geographic_location	latitude	longitude	latitude_and_longitude	lon	lat	geoAddress
A-1809	1980-08-28	"Kyrgyzstan: Range of Tien Shan Mountain System, Karagaily Area"	NA	NA	Missing	NA	NA	NA
A-1249	1970-04-18	Tajikistan: Sogdiyskaya Region	NA	NA	Missing	NA	NA	NA
A-1486	1966-11-25	"Kyrgyzstan: Oshskaya Region, Alayskiy District"	NA	NA	Missing	NA	NA	NA
A-1691	1971-07-20	Kyrgyzstan	NA	NA	Missing	NA	NA	NA
A-1836	1983-03-20	Kyrgyzstan: Issyk-Kul'skaya region	NA	NA	Missing	NA	NA	NA
Cadman	06-Jun-16	"USA: Gallup, NM"	NA	NA	missing	NA	NA	NA
SCPM-O-B-7037	12-Jun-78	Dagestan	NA	NA		NA	NA	NA
SCPM-O-B-6176	28-Aug-84	Dagestan	NA	NA		NA	NA	NA
SCPM-O-B-7040	31-Jul-88	Dagestan	NA	NA		NA	NA	NA
SCPM-O-B-6992	31-Jul-95	Dagestan	NA	NA		NA	NA	NA
SCPM-O-B-6983	16-Jun-69	Armenia	NA	NA		NA	NA	NA
SCPM-O-B-4664	06-Sep-80	Kyrgyzstan	NA	NA		NA	NA	NA
SCPM-O-DNA-01	05-Oct-01	"Russia, Altai Mountains"	NA	NA		NA	NA	NA
SCPM-O-DNA-02	05-Oct-01	"Russia, Altai Mountains"	NA	NA		NA	NA	NA
SCPM-O-DNA-03	04-Oct-01	"Russia, Altai Mountains"	NA	NA		NA	NA	NA
SCPM-O-DNA-04	04-Oct-01	"Russia, Altai Mountains"	NA	NA		NA	NA	NA
SCPM-O-DNA-05	28-Apr-07	"Russia, Altai Mountains"	NA	NA		NA	NA	NA
SCPM-O-DNA-06	23-Sep-07	"Russia, Altai Mountains"	NA	NA		NA	NA	NA
SCPM-O-DNA-07	06-Sep-07	"Russia, Altai Mountains"	NA	NA		NA	NA	NA
SCPM-O-DNA-08	12-Oct-07	"Russia, Altai Mountains"	NA	NA		NA	NA	NA
SCPM-O-DNA-09	15-Oct-07	"Russia, Altai Mountains"	NA	NA		NA	NA	NA
SCPM-O-DNA-10	Jun-77	"Russia, Altai Mountains"	NA	NA		NA	NA	NA
SCPM-O-DNA-11	19-May-84	Inner Mongolia	NA	NA		NA	NA	NA
SCPM-O-DNA-12	02-Jun-82	Inner Mongolia	NA	NA		NA	NA	NA
Yp3009	2007	Madagascar	NA	NA	18.46 S 46.52 E	NA	NA	NA
Yp2979	2006	Madagascar	NA	NA	18.46 S 46.52 E	NA	NA	NA
Yp3026	2008	Madagascar	NA	NA	18.46 S 46.52 E	NA	NA	NA
Yp3016	2007	Madagascar	NA	NA	18.46 S 46.52 E	NA	NA	NA
Yp3042	2009	Madagascar	NA	NA	18.46 S 46.52 E	NA	NA	NA
Yp3078	2011	Madagascar	NA	NA	18.46 S 46.52 E	NA	NA	NA
Yp2963	2006	Madagascar	NA	NA	18.46 S 46.52 E	NA	NA	NA
Yp3043	2009	Madagascar	NA	NA	18.46 S 46.52 E	NA	NA	NA
Yp3019	2008	Madagascar	NA	NA	18.46 S 46.52 E	NA	NA	NA
Yp3017	2007	Madagascar	NA	NA	18.46 S 46.52 E	NA	NA	NA
Yp2856	2003	Madagascar	NA	NA	18.46 S 46.52 E	NA	NA	NA
Yp2905	2004	Madagascar	NA	NA	18.46 S 46.52 E	NA	NA	NA
Yp3010	2007	Madagascar	NA	NA	18.46 S 46.52 E	NA	NA	NA
Yp3069	2011	Madagascar	NA	NA	18.46 S 46.52 E	NA	NA	NA
Yp3048	2009	Madagascar	NA	NA	18.46 S 46.52 E	NA	NA	NA
Yp2871	2004	Madagascar	NA	NA	18.46 S 46.52 E	NA	NA	NA
Yp2983	2007	Madagascar	NA	NA	18.46 S 46.52 E	NA	NA	NA
Yp3041	2009	Madagascar	NA	NA	18.46 S 46.52 E	NA	NA	NA
Yp2988	2007	Madagascar	NA	NA	18.46 S 46.52 E	NA	NA	NA
Yp2947	2006	Madagascar	NA	NA	18.46 S 46.52 E	NA	NA	NA
Yp3014	2007	Madagascar	NA	NA	18.46 S 46.52 E	NA	NA	NA
Yp3034	2008	Madagascar	NA	NA	18.46 S 46.52 E	NA	NA	NA
Yp3079	2012	Madagascar	NA	NA	18.46 S 46.52 E	NA	NA	NA
Yp2872	2004	Madagascar	NA	NA	18.46 S 46.52 E	NA	NA	NA
Yp2991	2007	Madagascar	NA	NA	18.46 S 46.52 E	NA	NA	NA
Yp3050	2010	Madagascar	NA	NA	18.46 S 46.52 E	NA	NA	NA
Yp3059	2011	Madagascar	NA	NA	18.46 S 46.52 E	NA	NA	NA
Yp3083	2012	Madagascar	NA	NA	18.46 S 46.52 E	NA	NA	NA
Yp3023	2008	Madagascar	NA	NA	18.46 S 46.52 E	NA	NA	NA
Yp3044	2009	Madagascar	NA	NA	18.46 S 46.52 E	NA	NA	NA
Yp3045	2009	Madagascar	NA	NA	18.46 S 46.52 E	NA	NA	NA
195/P	1898-1950	India	NA	NA		NA	NA	NA
UC91309	LAB INFECTION	LAB INFECTION	NA	NA	unknown	NA	NA	NA
