strain	Node	Group	Population	SNPs to MRCA	Nodes to MRCA	biovar	collection_date	host	geographic_location	longitude	latitude	Genome Project	Accession	Other designation
42013	0.ANT1a	0.ANT	0.ANT1	196	7	Antiqua	1971	Citellus undulatus 	"Xinjiang, China"	84.62	44.45	This Project	ADPG00000000  47685	
CMCC49003	0.ANT1b	0.ANT	0.ANT1	201	7	Antiqua	1976	Citellus undulatus 	"Xinjiang, China"	82.53	43.82	This Project	ADQX00000000  47685	
945	0.ANT1c	0.ANT	0.ANT1	218	7	Antiqua	1994	Human flea	"Xinjiang, China"	85.56	44.29	This Project	ADPV00000000  47685	
164	0.ANT1d	0.ANT	0.ANT1	212	8	Antiqua	1985	Oropsylla silantiewi	"Xinjiang, China"	88.1	39	This Project	ADOW00000000  47685	
CMCC8211	0.ANT1e	0.ANT	0.ANT1	213	9	Antiqua	1982	Citellophilus tesquorum	"Xinjiang, China"	82.92	44.67	This Project	ADRD00000000  47685	
42095	0.ANT1f	0.ANT	0.ANT1	215	9	Antiqua	2001	Citellus undulatus 	"Xinjiang, China"	84.62	44.45	This Project	ADPJ00000000  47685	
CMCC42007	0.ANT1g	0.ANT	0.ANT1	216	9	Antiqua	1967	Marmota baibacina	"Xinjiang, China"	84.62	44.45	This Project	ADQV00000000  47685	
CMCC43032	0.ANT1h	0.ANT	0.ANT1	218	9	Antiqua	1980	Oropsylla silantiewi	"Xinjiang, China"	86.92	44.18	This Project	ADQW00000000  47685	
B42003004	0.ANT2a	0.ANT	0.ANT2	211	6	Antiqua	2003	Marmota baibacina	"Xinjiang, China"	81.08	44.95	Published	AAYU01	
2330	0.ANT2a	0.ANT	0.ANT2	211	6	Antiqua	2003	Marmota baibacina	"Xinjiang, China"	81.08	44.95	This Project	ADOY00000000  47685	
CMCC38001	0.ANT3a	0.ANT	0.ANT3	213	8	Antiqua	1979	Marmota baibacina	"Xinjiang, China"	76.12	39.73	This Project	ADQU00000000  47685	
A1956001	0.ANT3b	0.ANT	0.ANT3	214	8	Antiqua	1956	Marmota caudata	"Xinjiang, China"	75.18	39.7	This Project	ADPX00000000  47685	0.ANT3a
42082	0.ANT3c	0.ANT	0.ANT3	216	8	Antiqua	1995	Citellus undulatus 	"Xinjiang, China"	84.62	44.45	This Project	ADPH00000000  47685	
CMCC21106	0.ANT3d	0.ANT	0.ANT3	217	8	Antiqua	2001	Marmota baibacina 	"Xinjiang, China"	75.18	39.7	This Project	ADQP00000000  47685	
42091	0.ANT3e	0.ANT	0.ANT3	217	8	Antiqua	1999	Citellus undulatus 	"Xinjiang, China"	84.62	44.45	This Project	ADPI00000000  47685	
PestoidesF	0.PE2a	0.PE	0.PE2	280	3	Microtus	<1984		FSU	NA	NA	Published	GCF_000016445.1	
G8786	0.PE2b	0.PE	0.PE2	320	3	Microtus	NA	Microtus. arvalis	Georgia	NA	NA	This Project	ADSG00000000  47685	
Angola	0.PE3a	0.PE	0.PE3	548	3	Microtus	<1984		Africa	NA	NA	Published	GCF_000018805.1	
12	0.PE4Aa	0.PE	0.PE4A	183	6	Antiqua	2004	Patient	"Qinghai, China"	100.22	38.2	This Project	ADOV00000000  47685	
9	0.PE4Ab	0.PE	0.PE4A	185	6	Antiqua	2004	Patient	"Qinghai, China"	97.12	33.35	This Project	ADPT00000000  47685	
PestoidesA	0.PE4Ba	0.PE	0.PE4B	210	6	Microtus	NA		FSU	NA	NA	Published	ACNT01	
CMCCN010025	0.PE4Ca	0.PE	0.PE4C	220	7	Microtus	2000	Microtus fuscus	"Sichuan, China"	98.06	33.01	This Project	ADRT00000000  47685	
M0000002	0.PE4Cb	0.PE	0.PE4C	222	8	Microtus	2001	Microtus fuscus	"Qinghai, China"	97.12	33.35	This Project	ADST00000000  47685	0.PE4b
CMCC18019	0.PE4Cc	0.PE	0.PE4C	223	9	Microtus	2001	Microtus fuscus	"Qinghai, China"	97.12	33.35	This Project	ADQO00000000  47685	
CMCC93014	0.PE4Cd	0.PE	0.PE4C	237	8	Microtus	1970	Microtus brandti	"Inner Mongolia, China"	116.08	43.95	This Project	ADRM00000000  47685	
CMCC91090	0.PE4Ce	0.PE	0.PE4C	231	9	Microtus	1970	Microtus brandti	"Inner Mongolia, China"	114.97	44.03	This Project	ADRJ00000000  47685	
91001	0.PE4Cf	0.PE	0.PE4C	243	9	Microtus	1970	Microtus brandti	"Inner Mongolia, China"	114.97	44.03	Published	GCF_000007885.1	
CMCC05009	0.PE7a	0.PE	0.PE7	96	1	Antiqua	1961	Allactaga sibirica	"Qinghai, China"	99.99	35.6	This Project	ADQE00000000  47685	
620024	0.PE7b	0.PE	0.PE7	97	2	Antiqua	1962	Patient	"Qinghai, China"	99.99	35.6	This Project	ADPM00000000  47685	0.PE7a
Antiqua	1.ANTa	1.ANT	1.ANT	300	10	Antiqua	1965	Patient	Congo	NA	NA	Published	GCF_000013825.1	
UG05	1.ANTb	1.ANT	1.ANT	305	10	Antiqua	2004	Patient	Uganda	NA	NA	Published	AAYR01	
CMCC11001	1.IN1a	1.IN	1.IN1	232	10	Antiqua	1954	Marmota himalayana	"Qinghai, China"	100.75	35.57	This Project	ADQK00000000  47685	
780441	1.IN1b	1.IN	1.IN1	235	10	Antiqua	1978	Marmota himalayana	"Qinghai, China"	98.26	34.92	This Project	ADPS00000000  47685	
K21985002	1.IN1c	1.IN	1.IN1	237	10	Antiqua	1985	Marmota himalayana	"Xinjiang, China"	88.1	39	This Project	ADSS00000000  47685	1.IN1a
CMCC640047	1.IN2a	1.IN	1.IN2	234	11	Antiqua	1964	Patient	"Qinghai, China"	100.61	36.27	This Project	ADRA00000000  47685	
30017	1.IN2b	1.IN	1.IN2	237	11	Antiqua	1976	Marmota himalayana	"Tibet, China"	92.1	31.47	This Project	ADPC00000000  47685	
CMCC31004	1.IN2c	1.IN	1.IN2	239	12	Antiqua	1990	Marmota himalayana	"Tibet, China"	91.68	32.29	This Project	ADQR00000000  47685	
C1975003	1.IN2d	1.IN	1.IN2	239	11	Antiqua	1975	Ovis aries	"Qinghai, China"	96.97	33.03	This Project	ADPZ00000000  47685	1.IN2a
C1989001	1.IN2e	1.IN	1.IN2	240	11	Antiqua	1989	Patient	"Qinghai, China"	95.3	32.92	This Project	ADQB00000000  47685	1.IN2a
710317	1.IN2f	1.IN	1.IN2	236	12	Antiqua	1971	Patient	"Qinghai, China"	101.28	36.72	This Project	ADPP00000000  47685	
