id	BioProject_id	BioProjectAccession	DataType	Description	MethodType	Name	TargetCapture	TargetMaterial	TargetScope	Title	Type	OrganismLabel	OrganismStrain	Supergroup	TaxonomicID	RegistrationDate	RelevanceMedical	SequencingStatus	SubmitterOrganization
1	449269	PRJNA449269	Genome sequencing and assembly	Whole genome shotgun sequence	Sequencing	Yersinia pestis strain:139	Whole	Genome	Monoisolate	Yersinia pestis strain:139 Genome sequencing	Primary submission	None	139	Bacteria	632	2018/04/30 00:00	yes	Contigs	Russian Research Anti-Plague Institute Microbe
2	448827	PRJNA448827	Genome sequencing and assembly	Whole genome shotgun sequence	Sequencing	Yersinia pestis strain:I-2422	Whole	Genome	Monoisolate	Yersinia pestis strain:I-2422 Genome sequencing	Primary submission	None	I-2422	Bacteria	632	2018/05/14 00:00	yes	Contigs	Russian Research Anti-Plague Institute Microbe
3	448820	PRJNA448820	Genome sequencing and assembly	Whole genome shotgun sequence	Sequencing	Yersinia pestis strain:5M	Whole	Genome	Monoisolate	Yersinia pestis strain:5M Genome sequencing	Primary submission	None	5M	Bacteria	632	2018/04/30 00:00	yes	Contigs	Russian Research Anti-Plague Institute Microbe
4	448814	PRJNA448814	Genome sequencing and assembly	Whole genome shotgun sequence	Sequencing	Yersinia pestis strain:262	Whole	Genome	Monoisolate	Yersinia pestis strain:262 Genome sequencing	Primary submission	None	262	Bacteria	632	2018/04/30 00:00	yes	Contigs	Russian Research Anti-Plague Institute Microbe
5	436901	PRJNA436901	Genome sequencing and assembly	Whole genome shotgun sequence	Sequencing	Yersinia pestis strain:1393G	Whole	Genome	Monoisolate	Yersinia pestis strain:1393G Genome sequencing	Primary submission	None	1393G	Bacteria	632	2018/03/10 00:00	None	Contigs	Russian Research Anti-Plague institute "Microbe"
6	412669	PRJNA412669	Genome sequencing and assembly	Sequencing of a strain associated with laboratory infection of plague	Sequencing	Yersinia pestis strain:UC91309	Whole	Genome	Monoisolate	Yersinia pestis sequencing of UC91309	Primary submission	None	UC91309	Bacteria	632	2017/10/11 00:00	yes	Contigs	Northern Arizona University
7	406910	PRJEB19335	Other	Yersinia pestis, the aetiologic agent of plague, is a bacterium associated with wild rodents and their fleas. Historically it was responsible for three pandemics: the Plague of Justinian in the 6th century AD which persisted until the 8th century; the renowned Black Death of the 14th century with recurrent outbreaks until the 18th century; and the most recent 19th century pandemic where Y. pestis spread world-wide and became endemic in several regions. The discovery of molecular signatures of Y. pestis in Prehistoric Eurasian individuals, and two genomes from Southern Siberia, suggest Y. pestis caused some form of disease in humans prior to the first historically documented pandemic. Here, we present six new European Y. pestis genomes spanning the Late Neolithic to the Bronze Age (LNBA; 4,800 to 3,700 calBP). This time period is characterized by major transformative cultural and social changes that led to cross-European networks of contact and exchange. We show that all known LNBA strains form a single putatively extinct clade in the Y. pestis phylogeny. Interpreting our data within the context of recent ancient human genomic evidence that suggests an increase in human mobility during the LNBA, we propose a possible scenario for the early spread of Y. pestis: the pathogen may have entered Europe from Central Eurasia following an expansion of people from the steppe, persisted within Europe until the mid-Bronze Age, and moved back towards Central Eurasia in parallel with human populations.	Sequencing	stone-age-plague-2017	Whole	Genome	Monoisolate	The Stone Age Plague: 1000 years of Persistence in Eurasia	Primary submission	None	None	None	0	2017/09/12 00:00	None	SRA/Trace	Max Planck Institute for the Science of Human History
8	391106	PRJNA391106	Other	Using a library of over 1 million Y. pestis CO92 random mutants and transposon-directed insertion site sequencing, we identified 530 essential genes when the bacteria were cultured at 28oC. When the library of mutants was subsequently cultured at 37oC we identified 19 genes that were essential at 37oC but not at 28oC, including genes which encode proteins that play a role in enabling functioning of the type III secretion and in DNA replication and maintenance. Overall design: 100 bp single end reads on an Illumina HiSeq 2500 standard mode	Other	Yersinia pestis	Whole	Other	Multiisolate	An integrated computational-experimental approach reveals Yersinia pestis genes essential across a narrow or a broad range of environmental conditions	Primary submission	None	None	Bacteria	632	2017/06/20 00:00	Yes	SRA/Trace	University of Exeter
9	384395	PRJNA384395	Transcriptome or Gene expression	Testing expression of genes regulated by YPO0627 and YPO0628 relative to wild-type Yersinia pestis CO92(pCD1-)	Sequencing	Yersinia pestis strain:CO92(pCD1-)	Whole	Transcriptome	Monoisolate	Yersinia pestis strain:CO92(pCD1-) Transcriptome or Gene expression	Primary submission	None	CO92(pCD1-)	Bacteria	632	2017/04/26 00:00	None	SRA/Trace	Howard Taylor Ricketts Lab, University of Chicago
10	357858	PRJNA357858	Genome sequencing and assembly	Yersinia pestis 195/P nanopore assembly and sequencing benchmarking	Sequencing	Yersinia pestis strain:195/P	Whole	Genome	Monoisolate	Yersinia pestis strain:195/P Genome sequencing and assembly	Primary submission	None	195/P	Bacteria	632	2017/02/21 00:00	None	Complete	NHGRI/NIH
