id	SRA_id	BioProjectAccession	BioSampleAccession	ExperimentAccession	RunAccession	SampleAccession	ExperimentName	ExperimentStatus	ExperimentVersion	IsPublic	SampleName	StaticDataAvailable	StudyAcc	StudName	Title	OrganismName	OrganismTaxID	ClusterName	InstrumentModel	LibraryName	LibraryLayout	LibrarySelection	LibrarySource	LibraryStrategy	Platform	TotalBases	TotalSize	TotalSpots	TotalRuns	CreateDate	UpdateDate	CenterName	ContactName	LabName	SubmitterAccession
1	5458078	PRJEB6403	SAMEA104398216	ERX2550556	ERR2532127	ERS2016158	PacBio RS sequencing	public	1	true	Yersinia pestis	true	ERP005928	NCTC_3000	PacBio RS sequencing	Yersinia pestis	632	public	PacBio RS	20954568	SINGLE	RANDOM	GENOMIC	WGS	PACBIO_SMRT	2490104441	8537699869	163482	1	2018/04/24	2018/04/24		European Nucleotide Archive	European Nucleotide Archive	ERA1348695
2	5458077	PRJEB6403	SAMEA104398215	ERX2550555	ERR2532126	ERS2016157	PacBio RS sequencing	public	1	true	Yersinia pestis	true	ERP005928	NCTC_3000	PacBio RS sequencing	Yersinia pestis	632	public	PacBio RS	20954567	SINGLE	RANDOM	GENOMIC	WGS	PACBIO_SMRT	2515458838	8710946739	163482	1	2018/04/24	2018/04/24		European Nucleotide Archive	European Nucleotide Archive	ERA1348695
3	5458071	PRJEB6403	SAMEA104398214	ERX2550549	ERR2532120	ERS2016156	PacBio RS sequencing	public	1	true	Yersinia pestis	true	ERP005928	NCTC_3000	PacBio RS sequencing	Yersinia pestis	632	public	PacBio RS	20954566	SINGLE	RANDOM	GENOMIC	WGS	PACBIO_SMRT	1071634049	3782403064	163482	1	2018/04/24	2018/04/24		European Nucleotide Archive	European Nucleotide Archive	ERA1348695
4	5426359	PRJEB6403	SAMEA104398216	ERX2547345	ERR2528464	ERS2016158	PacBio RS sequencing	public	1	true	Yersinia pestis	true	ERP005928	NCTC_3000	PacBio RS sequencing	Yersinia pestis	632	public	PacBio RS	20954568	SINGLE	RANDOM	GENOMIC	WGS	PACBIO_SMRT	51540147	248487770	163482	1	2018/04/18	2018/04/18		European Nucleotide Archive	European Nucleotide Archive	ERA1314259
5	5426358	PRJEB6403	SAMEA104398215	ERX2547344	ERR2528463	ERS2016157	PacBio RS sequencing	public	1	true	Yersinia pestis	true	ERP005928	NCTC_3000	PacBio RS sequencing	Yersinia pestis	632	public	PacBio RS	20954567	SINGLE	RANDOM	GENOMIC	WGS	PACBIO_SMRT	41489430	199197637	163482	1	2018/04/18	2018/04/18		European Nucleotide Archive	European Nucleotide Archive	ERA1314259
6	4122744	PRJNA269675	SAMN07176224	SRX2879721	SRR5641454	SRS2247672	Shotgun 2017 Sample 84	public	2	true		true	SRP051099	Pathogenic microorganism Genome sequencing	Shotgun 2017 Sample 84	None	1234662	public	Illumina MiSeq	2017 Sample 84 Library 01	PAIRED	unspecified	GENOMIC	WGS	ILLUMINA	125281863	65071440	344047	2	2018/06/02	2018/03/07	SRCAMB	Alexander Bogun	Science Department	SRA569616
7	5175858	PRJNA269675	SAMN08625965	SRX3753336	SRR6794311	SRS3009356	2018 Sample 101 Library 01	public	1	true		true	SRP051099	Pathogenic microorganism Genome sequencing	2018 Sample 101 Library 01	None	632	public	Illumina MiSeq	2018 Sample 101 Library 01	PAIRED	unspecified	GENOMIC	WGS	ILLUMINA	174345252	100444217	313653	1	2018/03/01	2018/03/01	SRCAMB	Alexander Bogun	Science Department	SRA663210
8	5175857	PRJNA269675	SAMN08625964	SRX3753335	SRR6794312	SRS3009355	2018 Sample 100 Library 01	public	1	true		true	SRP051099	Pathogenic microorganism Genome sequencing	2018 Sample 100 Library 01	None	632	public	Illumina MiSeq	2018 Sample 100 Library 01	PAIRED	unspecified	GENOMIC	WGS	ILLUMINA	235139826	133216083	421197	1	2018/03/01	2018/03/01	SRCAMB	Alexander Bogun	Science Department	SRA663210
9	5175856	PRJNA269675	SAMN08625967	SRX3753334	SRR6794313	SRS3009354	2018 Sample 103 Library 01	public	1	true		true	SRP051099	Pathogenic microorganism Genome sequencing	2018 Sample 103 Library 01	None	632	public	Illumina MiSeq	2018 Sample 103 Library 01	PAIRED	unspecified	GENOMIC	WGS	ILLUMINA	268586256	155723724	523985	1	2018/03/01	2018/03/01	SRCAMB	Alexander Bogun	Science Department	SRA663210
10	5175855	PRJNA269675	SAMN08625966	SRX3753333	SRR6794314	SRS3009353	2018 Sample 102 Library 01	public	1	true		true	SRP051099	Pathogenic microorganism Genome sequencing	2018 Sample 102 Library 01	None	632	public	Illumina MiSeq	2018 Sample 102 Library 01	PAIRED	unspecified	GENOMIC	WGS	ILLUMINA	252914608	153632182	455270	1	2018/03/01	2018/03/01	SRCAMB	Alexander Bogun	Science Department	SRA663210
11	5175854	PRJNA269675	SAMN08625969	SRX3753332	SRR6794315	SRS3009352	2018 Sample 105 Library 01	public	1	true		true	SRP051099	Pathogenic microorganism Genome sequencing	2018 Sample 105 Library 01	None	632	public	Illumina MiSeq	2018 Sample 105 Library 01	PAIRED	unspecified	GENOMIC	WGS	ILLUMINA	205981365	122836466	382441	1	2018/03/01	2018/03/01	SRCAMB	Alexander Bogun	Science Department	SRA663210
12	5175853	PRJNA269675	SAMN08625968	SRX3753331	SRR6794316	SRS3009351	2018 Sample 104 Library 01	public	1	true		true	SRP051099	Pathogenic microorganism Genome sequencing	2018 Sample 104 Library 01	None	632	public	Illumina MiSeq	2018 Sample 104 Library 01	PAIRED	unspecified	GENOMIC	WGS	ILLUMINA	212084387	126403078	390246	1	2018/03/01	2018/03/01	SRCAMB	Alexander Bogun	Science Department	SRA663210
13	4988850	PRJEB6403	SAMEA104281628	ERX2298690	ERR2246667	ERS1906606	PacBio RS sequencing	public	1	true	Yersinia pestis	true	ERP005928	NCTC_3000	PacBio RS sequencing	Yersinia pestis	632	public	PacBio RS	20331743	SINGLE	RANDOM	GENOMIC	WGS	PACBIO_SMRT	2378412813	8073289481	163482	1	2018/01/26	2018/01/26		European Nucleotide Archive	European Nucleotide Archive	ERA1179997
14	4927489	PRJEB6403	SAMEA104210777	ERX2289970	ERR2237803	ERS1869795	PacBio RS sequencing	public	1	true		true	ERP005928	NCTC_3000	PacBio RS sequencing	None	632	public	PacBio RS	20150676	SINGLE	RANDOM	GENOMIC	WGS	PACBIO_SMRT	1756776190	5978657652	163482	1	2018/01/10	2018/01/10		European Nucleotide Archive	European Nucleotide Archive	ERA1172104
15	4481222	PRJEB19335	SAMEA104233051	ERX2169830	ERR2112586	ERS1892069	Illumina HiSeq 4000 sequencing	public	1	true		true	ERP021337	The Stone Age Plague: 1000 years of Persistence in Eurasia	Illumina HiSeq 4000 sequencing	None	632	public	Illumina HiSeq 4000	RK1.001.C0101	SINGLE	RANDOM	GENOMIC	Targeted-Capture	ILLUMINA	95531468	34300780	1256993	1	2017/09/12	2017/09/12	Max Planck Institute for the Science of Human Hist	European Nucleotide Archive	European Nucleotide Archive	ERA1086110
16	4481221	PRJEB19335	SAMEA104233051	ERX2169829	ERR2112585	ERS1892069	Illumina HiSeq 4000 sequencing	public	1	true		true	ERP021337	The Stone Age Plague: 1000 years of Persistence in Eurasia	Illumina HiSeq 4000 sequencing	None	632	public	Illumina HiSeq 4000	RK1.001.C0101	SINGLE	RANDOM	GENOMIC	Targeted-Capture	ILLUMINA	440988404	153507924	5802479	1	2017/09/12	2017/09/12	Max Planck Institute for the Science of Human Hist	European Nucleotide Archive	European Nucleotide Archive	ERA1086110
17	4481220	PRJEB19335	SAMEA104233051	ERX2169828	ERR2112584	ERS1892069	Illumina HiSeq 4000 sequencing	public	1	true		true	ERP021337	The Stone Age Plague: 1000 years of Persistence in Eurasia	Illumina HiSeq 4000 sequencing	None	632	public	Illumina HiSeq 4000	RK1.001.C0101	SINGLE	RANDOM	GENOMIC	Targeted-Capture	ILLUMINA	440384052	153566095	5794527	1	2017/09/12	2017/09/12	Max Planck Institute for the Science of Human Hist	European Nucleotide Archive	European Nucleotide Archive	ERA1086110
18	4481219	PRJEB19335	SAMEA104233051	ERX2169827	ERR2112583	ERS1892069	Illumina HiSeq 4000 sequencing	public	1	true		true	ERP021337	The Stone Age Plague: 1000 years of Persistence in Eurasia	Illumina HiSeq 4000 sequencing	None	632	public	Illumina HiSeq 4000	RK1.001.C0101	SINGLE	RANDOM	GENOMIC	Targeted-Capture	ILLUMINA	28279184736	9287976945	372094536	1	2017/09/12	2017/09/12	Max Planck Institute for the Science of Human Hist	European Nucleotide Archive	European Nucleotide Archive	ERA1086110
19	4481218	PRJEB19335	SAMEA104233050	ERX2169826	ERR2112582	ERS1892068	Illumina HiSeq 4000 sequencing	public	1	true		true	ERP021337	The Stone Age Plague: 1000 years of Persistence in Eurasia	Illumina HiSeq 4000 sequencing	None	632	public	Illumina HiSeq 4000	GEN_72	SINGLE	RANDOM	GENOMIC	Targeted-Capture	ILLUMINA	119969952	42597688	1578552	1	2017/09/12	2017/09/12	Max Planck Institute for the Science of Human Hist	European Nucleotide Archive	European Nucleotide Archive	ERA1086110
20	4481217	PRJEB19335	SAMEA104233050	ERX2169825	ERR2112581	ERS1892068	Illumina HiSeq 4000 sequencing	public	1	true		true	ERP021337	The Stone Age Plague: 1000 years of Persistence in Eurasia	Illumina HiSeq 4000 sequencing	None	632	public	Illumina HiSeq 4000	GEN_72	SINGLE	RANDOM	GENOMIC	Targeted-Capture	ILLUMINA	547543596	187456138	7204521	1	2017/09/12	2017/09/12	Max Planck Institute for the Science of Human Hist	European Nucleotide Archive	European Nucleotide Archive	ERA1086110
21	4481216	PRJEB19335	SAMEA104233050	ERX2169824	ERR2112580	ERS1892068	Illumina HiSeq 4000 sequencing	public	1	true		true	ERP021337	The Stone Age Plague: 1000 years of Persistence in Eurasia	Illumina HiSeq 4000 sequencing	None	632	public	Illumina HiSeq 4000	GEN_72	SINGLE	RANDOM	GENOMIC	Targeted-Capture	ILLUMINA	545472064	187156190	7177264	1	2017/09/12	2017/09/12	Max Planck Institute for the Science of Human Hist	European Nucleotide Archive	European Nucleotide Archive	ERA1086110
22	4481215	PRJEB19335	SAMEA104233050	ERX2169823	ERR2112579	ERS1892068	Illumina HiSeq 4000 sequencing	public	1	true		true	ERP021337	The Stone Age Plague: 1000 years of Persistence in Eurasia	Illumina HiSeq 4000 sequencing	None	632	public	Illumina HiSeq 4000	GEN_72	SINGLE	RANDOM	GENOMIC	Targeted-Capture	ILLUMINA	618986104	207285251	8144554	1	2017/09/12	2017/09/12	Max Planck Institute for the Science of Human Hist	European Nucleotide Archive	European Nucleotide Archive	ERA1086110
23	4481214	PRJEB19335	SAMEA104233049	ERX2169822	ERR2112578	ERS1892067	Illumina HiSeq 4000 sequencing	public	1	true		true	ERP021337	The Stone Age Plague: 1000 years of Persistence in Eurasia	Illumina HiSeq 4000 sequencing	None	632	public	Illumina HiSeq 4000	ABI933	SINGLE	RANDOM	GENOMIC	WGS	ILLUMINA	12547018980	4359820839	165092355	1	2017/09/12	2017/09/12	Max Planck Institute for the Science of Human Hist	European Nucleotide Archive	European Nucleotide Archive	ERA1086110
24	4481213	PRJEB19335	SAMEA104233049	ERX2169821	ERR2112577	ERS1892067	Illumina HiSeq 4000 sequencing	public	1	true		true	ERP021337	The Stone Age Plague: 1000 years of Persistence in Eurasia	Illumina HiSeq 4000 sequencing	None	632	public	Illumina HiSeq 4000	ABI933	SINGLE	RANDOM	GENOMIC	WGS	ILLUMINA	21793526148	7201801906	286756923	1	2017/09/12	2017/09/12	Max Planck Institute for the Science of Human Hist	European Nucleotide Archive	European Nucleotide Archive	ERA1086110
25	4481212	PRJEB19335	SAMEA104233049	ERX2169820	ERR2112576	ERS1892067	Illumina HiSeq 4000 sequencing	public	1	true		true	ERP021337	The Stone Age Plague: 1000 years of Persistence in Eurasia	Illumina HiSeq 4000 sequencing	None	632	public	Illumina HiSeq 4000	ABI933	SINGLE	RANDOM	GENOMIC	WGS	ILLUMINA	24363860512	8272378367	320577112	1	2017/09/12	2017/09/12	Max Planck Institute for the Science of Human Hist	European Nucleotide Archive	European Nucleotide Archive	ERA1086110
26	4481211	PRJEB19335	SAMEA104233049	ERX2169819	ERR2112575	ERS1892067	Illumina HiSeq 4000 sequencing	public	1	true		true	ERP021337	The Stone Age Plague: 1000 years of Persistence in Eurasia	Illumina HiSeq 4000 sequencing	None	632	public	Illumina HiSeq 4000	ABI933	SINGLE	RANDOM	GENOMIC	WGS	ILLUMINA	24331837152	8167911836	320155752	1	2017/09/12	2017/09/12	Max Planck Institute for the Science of Human Hist	European Nucleotide Archive	European Nucleotide Archive	ERA1086110
27	4481210	PRJEB19335	SAMEA104233049	ERX2169818	ERR2112574	ERS1892067	Illumina HiSeq 4000 sequencing	public	1	true		true	ERP021337	The Stone Age Plague: 1000 years of Persistence in Eurasia	Illumina HiSeq 4000 sequencing	None	632	public	Illumina HiSeq 4000	ABI933	SINGLE	RANDOM	GENOMIC	WGS	ILLUMINA	24177503040	8233436356	318125040	1	2017/09/12	2017/09/12	Max Planck Institute for the Science of Human Hist	European Nucleotide Archive	European Nucleotide Archive	ERA1086110
28	4481209	PRJEB19335	SAMEA104233048	ERX2169817	ERR2112573	ERS1892066	Illumina HiSeq 4000 sequencing	public	1	true		true	ERP021337	The Stone Age Plague: 1000 years of Persistence in Eurasia	Illumina HiSeq 4000 sequencing	None	632	public	Illumina HiSeq 4000	ABI910	SINGLE	RANDOM	GENOMIC	WGS	ILLUMINA	2185367992	770841257	28754842	1	2017/09/12	2017/09/12	Max Planck Institute for the Science of Human Hist	European Nucleotide Archive	European Nucleotide Archive	ERA1086110
29	4481208	PRJEB19335	SAMEA104233048	ERX2169816	ERR2112572	ERS1892066	Illumina HiSeq 4000 sequencing	public	1	true		true	ERP021337	The Stone Age Plague: 1000 years of Persistence in Eurasia	Illumina HiSeq 4000 sequencing	None	632	public	Illumina HiSeq 4000	ABI910	SINGLE	RANDOM	GENOMIC	WGS	ILLUMINA	4654351188	1548481945	61241463	1	2017/09/12	2017/09/12	Max Planck Institute for the Science of Human Hist	European Nucleotide Archive	European Nucleotide Archive	ERA1086110
