id	BioSample_id	Accession	BioProject	SRAAccession	BioSampleTitle	SampleName	SampleType	Package	Infraspecies	Organism	OrganismAlt	SubSpecies	Strain	TaxonomyID	Biovar	CollectionDate	GeographicLocation	Host	HostDisease	IsolateNameAlias	IsolationSource	Lat	LatLon	Lon	Date	ModificationDate	PublicationDate	Organization
1	7176226	SAMN07176226	PRJNA269675	SRS2247689	Microbe sample from Yersinia pestis subsp. pestis bv. Medievalis	2017 Sample 86	Cell culture	Microbe.1.0	strain: SCPM-O-B-7331	Yersinia pestis subsp. pestis bv. Medievalis	Yersinia pestis subsp. pestis bv. Medievalis	pestis	SCPM-O-B-7331	1234662	Medievalis	07-Jul-2001	missing	missing	Plague	C-776	missing	None	41.387757, 45.857095	None	2017/06/01	2018/06/04	2017/06/01	SRCAMB
2	7176225	SAMN07176225	PRJNA269675	SRS2247688	Microbe sample from Yersinia pestis subsp. pestis bv. Medievalis	2017 Sample 85	Cell culture	Microbe.1.0	strain: SCPM-O-B-7307	Yersinia pestis subsp. pestis bv. Medievalis	Yersinia pestis subsp. pestis bv. Medievalis	pestis	SCPM-O-B-7307	1234662	Medievalis	03-Aug-1984	missing	missing	Plague	C-574	missing	None	41.3856256, 45.815443	None	2017/06/01	2018/06/04	2017/06/01	SRCAMB
3	7176224	SAMN07176224	PRJNA269675	SRS2247672	Microbe sample from Yersinia pestis subsp. pestis bv. Medievalis	2017 Sample 84	Cell culture	Microbe.1.0	strain: SCPM-O-B-6530	Yersinia pestis subsp. pestis bv. Medievalis	Yersinia pestis subsp. pestis bv. Medievalis	pestis	SCPM-O-B-6530	1234662	Medievalis	27-Jul-2000	missing	missing	Plague	C-771	missing	None	41.15516, 45.46433415	None	2017/06/01	2018/06/04	2017/06/01	SRCAMB
4	7176223	SAMN07176223	PRJNA269675	SRS2247670	Microbe sample from Yersinia pestis subsp. pestis bv. Medievalis	2017 Sample 83	Cell culture	Microbe.1.0	strain: SCPM-O-B-7298	Yersinia pestis subsp. pestis bv. Medievalis	Yersinia pestis subsp. pestis bv. Medievalis	pestis	SCPM-O-B-7298	1234662	Medievalis	31-Jul-1973	missing	missing	Plague	C-504	missing	None	41.12661, 45.161445	None	2017/06/01	2018/06/04	2017/06/01	SRCAMB
5	7176222	SAMN07176222	PRJNA269675	SRS2247666	Microbe sample from Yersinia pestis subsp. pestis bv. Medievalis	2017 Sample 82	Cell culture	Microbe.1.0	strain: SCPM-O-B-7289	Yersinia pestis subsp. pestis bv. Medievalis	Yersinia pestis subsp. pestis bv. Medievalis	pestis	SCPM-O-B-7289	1234662	Medievalis	18-Apr-1974	missing	missing	Plague	C-320	missing	None	41.7634, 45.6577534	None	2017/06/01	2018/06/04	2017/06/01	SRCAMB
6	5521439	SAMN05521439	PRJNA269675	SRS1608362	Microbe sample from Yersinia pestis subsp. microtus	RSCF 2016 Sample 66	Cell culture	Microbe.1.0	strain: SCPM-O-DNA-14	Yersinia pestis subsp. microtus	Yersinia pestis subsp. microtus	microtus	SCPM-O-DNA-14	1234659	None	28-May-1983	missing	missing	None	None	missing	None	None	None	2016/08/08	2018/06/04	2016/08/08	SRCAMB
7	5521438	SAMN05521438	PRJNA269675	SRS1608361	Microbe sample from Yersinia pestis subsp. microtus	RSCF 2016 Sample 65	Cell culture	Microbe.1.0	strain: SCPM-O-DNA-13	Yersinia pestis subsp. microtus	Yersinia pestis subsp. microtus	microtus	SCPM-O-DNA-13	1234659	None	14-Sep-1971	missing	missing	None	None	missing	None	None	None	2016/08/08	2018/06/04	2016/08/08	SRCAMB
8	5521437	SAMN05521437	PRJNA269675	SRS1608360	Microbe sample from Yersinia pestis subsp. microtus bv. Xilingolensis	RSCF 2016 Sample 64	Cell culture	Microbe.1.0	strain: SCPM-O-DNA-12	Yersinia pestis subsp. microtus bv. Xilingolensis	Yersinia pestis subsp. microtus bv. Xilingolensis	microtus	SCPM-O-DNA-12	1679171	Xilingolensis	02-Jun-1982	missing	missing	None	None	missing	None	None	None	2016/08/08	2018/06/04	2016/08/08	SRCAMB
9	5521436	SAMN05521436	PRJNA269675	SRS1608358	Microbe sample from Yersinia pestis subsp. microtus bv. Xilingolensis	RSCF 2016 Sample 63	Cell culture	Microbe.1.0	strain: SCPM-O-DNA-11	Yersinia pestis subsp. microtus bv. Xilingolensis	Yersinia pestis subsp. microtus bv. Xilingolensis	microtus	SCPM-O-DNA-11	1679171	Xilingolensis	19-May-1984	missing	missing	None	None	missing	None	None	None	2016/08/08	2018/06/04	2016/08/08	SRCAMB
10	5521435	SAMN05521435	PRJNA269675	SRS1608350	Microbe sample from Yersinia pestis subsp. microtus bv. Altaica	RSCF 2016 Sample 62	Cell culture	Microbe.1.0	strain: SCPM-O-DNA-10	Yersinia pestis subsp. microtus bv. Altaica	Yersinia pestis subsp. microtus bv. Altaica	microtus	SCPM-O-DNA-10	385967	Altaica	Jun-1977	missing	missing	None	None	missing	None	None	None	2016/08/08	2018/06/04	2016/08/08	SRCAMB
11	5521434	SAMN05521434	PRJNA269675	SRS1608349	Microbe sample from Yersinia pestis subsp. microtus bv. Altaica	RSCF 2016 Sample 61	Cell culture	Microbe.1.0	strain: SCPM-O-DNA-09	Yersinia pestis subsp. microtus bv. Altaica	Yersinia pestis subsp. microtus bv. Altaica	microtus	SCPM-O-DNA-09	385967	Altaica	15-Oct-2007	missing	missing	None	None	missing	None	None	None	2016/08/08	2018/06/04	2016/08/08	SRCAMB
12	5521433	SAMN05521433	PRJNA269675	SRS1608346	Microbe sample from Yersinia pestis subsp. microtus bv. Altaica	RSCF 2016 Sample 60	Cell culture	Microbe.1.0	strain: SCPM-O-DNA-08	Yersinia pestis subsp. microtus bv. Altaica	Yersinia pestis subsp. microtus bv. Altaica	microtus	SCPM-O-DNA-08	385967	Altaica	12-Oct-2007	missing	missing	None	None	missing	None	None	None	2016/08/08	2018/06/04	2016/08/08	SRCAMB
13	5521432	SAMN05521432	PRJNA269675	SRS1608345	Microbe sample from Yersinia pestis subsp. microtus bv. Altaica	RSCF 2016 Sample 59	Cell culture	Microbe.1.0	strain: SCPM-O-DNA-07	Yersinia pestis subsp. microtus bv. Altaica	Yersinia pestis subsp. microtus bv. Altaica	microtus	SCPM-O-DNA-07	385967	Altaica	06-Sep-2007	missing	missing	None	None	missing	None	None	None	2016/08/08	2018/06/04	2016/08/08	SRCAMB
14	5521431	SAMN05521431	PRJNA269675	SRS1608344	Microbe sample from Yersinia pestis subsp. microtus bv. Altaica	RSCF 2016 Sample 58	Cell culture	Microbe.1.0	strain: SCPM-O-DNA-06	Yersinia pestis subsp. microtus bv. Altaica	Yersinia pestis subsp. microtus bv. Altaica	microtus	SCPM-O-DNA-06	385967	Altaica	23-Sep-2007	missing	missing	None	None	missing	None	None	None	2016/08/08	2018/06/04	2016/08/08	SRCAMB
15	5521430	SAMN05521430	PRJNA269675	SRS1608342	Microbe sample from Yersinia pestis subsp. microtus bv. Altaica	RSCF 2016 Sample 57	Cell culture	Microbe.1.0	strain: SCPM-O-DNA-05	Yersinia pestis subsp. microtus bv. Altaica	Yersinia pestis subsp. microtus bv. Altaica	microtus	SCPM-O-DNA-05	385967	Altaica	28-Apr-2007	missing	missing	None	None	missing	None	None	None	2016/08/08	2018/06/04	2016/08/08	SRCAMB
16	5521429	SAMN05521429	PRJNA269675	SRS1608341	Microbe sample from Yersinia pestis subsp. microtus bv. Altaica	RSCF 2016 Sample 56	Cell culture	Microbe.1.0	strain: SCPM-O-DNA-04	Yersinia pestis subsp. microtus bv. Altaica	Yersinia pestis subsp. microtus bv. Altaica	microtus	SCPM-O-DNA-04	385967	Altaica	04-Oct-2001	missing	missing	None	None	missing	None	None	None	2016/08/08	2018/06/04	2016/08/08	SRCAMB
17	5521428	SAMN05521428	PRJNA269675	SRS1608334	Microbe sample from Yersinia pestis subsp. microtus bv. Altaica	RSCF 2016 Sample 55	Cell culture	Microbe.1.0	strain: SCPM-O-DNA-03	Yersinia pestis subsp. microtus bv. Altaica	Yersinia pestis subsp. microtus bv. Altaica	microtus	SCPM-O-DNA-03	385967	Altaica	04-Oct-2001	missing	missing	None	None	missing	None	None	None	2016/08/08	2018/06/04	2016/08/08	SRCAMB
18	5521427	SAMN05521427	PRJNA269675	SRS1608333	Microbe sample from Yersinia pestis subsp. microtus bv. Altaica	RSCF 2016 Sample 54	Cell culture	Microbe.1.0	strain: SCPM-O-DNA-02	Yersinia pestis subsp. microtus bv. Altaica	Yersinia pestis subsp. microtus bv. Altaica	microtus	SCPM-O-DNA-02	385967	Altaica	05-Oct-2001	missing	missing	None	None	missing	None	None	None	2016/08/08	2018/06/04	2016/08/08	SRCAMB
19	5521426	SAMN05521426	PRJNA269675	SRS1608331	Microbe sample from Yersinia pestis subsp. microtus bv. Altaica	RSCF 2016 Sample 53	Cell culture	Microbe.1.0	strain: SCPM-O-DNA-01	Yersinia pestis subsp. microtus bv. Altaica	Yersinia pestis subsp. microtus bv. Altaica	microtus	SCPM-O-DNA-01	385967	Altaica	05-Oct-2001	missing	missing	None	None	missing	None	None	None	2016/08/08	2018/06/04	2016/08/08	SRCAMB
20	5521425	SAMN05521425	PRJNA269675	SRS1608330	Microbe sample from Yersinia pestis subsp. microtus bv. Talassica	RSCF 2016 Sample 52	Cell culture	Microbe.1.0	strain: SCPM-O-B-4664	Yersinia pestis subsp. microtus bv. Talassica	Yersinia pestis subsp. microtus bv. Talassica	microtus	SCPM-O-B-4664	385968	Talassica	06-Sep-1980	missing	missing	None	None	missing	None	None	None	2016/08/08	2018/06/04	2016/08/08	SRCAMB
21	5521424	SAMN05521424	PRJNA269675	SRS1608329	Microbe sample from Yersinia pestis subsp. microtus bv. Caucasica	RSCF 2016 Sample 51	Cell culture	Microbe.1.0	strain: SCPM-O-B-6983	Yersinia pestis subsp. microtus bv. Caucasica	Yersinia pestis subsp. microtus bv. Caucasica	microtus	SCPM-O-B-6983	385966	Caucasica	16-Jun-1969	missing	missing	None	None	missing	None	None	None	2016/08/08	2018/06/04	2016/08/08	SRCAMB
22	5521423	SAMN05521423	PRJNA269675	SRS1608327	Microbe sample from Yersinia pestis subsp. microtus bv. Caucasica	RSCF 2016 Sample 50	Cell culture	Microbe.1.0	strain: SCPM-O-B-6992	Yersinia pestis subsp. microtus bv. Caucasica	Yersinia pestis subsp. microtus bv. Caucasica	microtus	SCPM-O-B-6992	385966	Caucasica	31-Jul-1995	missing	missing	None	None	missing	None	None	None	2016/08/08	2018/06/04	2016/08/08	SRCAMB
23	5521422	SAMN05521422	PRJNA269675	SRS1608323	Microbe sample from Yersinia pestis subsp. microtus bv. Caucasica	RSCF 2016 Sample 49	Cell culture	Microbe.1.0	strain: SCPM-O-B-7040	Yersinia pestis subsp. microtus bv. Caucasica	Yersinia pestis subsp. microtus bv. Caucasica	microtus	SCPM-O-B-7040	385966	Caucasica	31-Jul-1988	missing	missing	None	None	missing	None	None	None	2016/08/08	2018/06/04	2016/08/08	SRCAMB
24	5521421	SAMN05521421	PRJNA269675	SRS1608322	Microbe sample from Yersinia pestis subsp. microtus bv. Caucasica	RSCF 2016 Sample 48	Cell culture	Microbe.1.0	strain: SCPM-O-B-6176	Yersinia pestis subsp. microtus bv. Caucasica	Yersinia pestis subsp. microtus bv. Caucasica	microtus	SCPM-O-B-6176	385966	Caucasica	28-Aug-1984	missing	missing	None	None	missing	None	None	None	2016/08/08	2018/06/04	2016/08/08	SRCAMB
