I1969003	collection_date	host	geographic_location	alternative_strain	biovar
A1992001	1992		China	A1992002	
B11989001	1989		China	A1989002	
B21959001	1959		China	B1959001	
B21972002	1972		China	B1972002	
B21984003	1984		China	B1984002	
B31965001	1965		China	B1965004	
B31965002	1965		China	B1965003	
B31971001	1971		China	B1971001	
B31981001	1981		China	B1981002	
B31983002	1983		China	B1983005	
B41976001	1976		China	B1976002	
B41976003	1976		China	B1976004	
C1954001	1954		China	C1954002	
C1960001	1960		China	C1960004	
C1960003	1960		China		
C1962002	1962		China		
C1962003	1962		China	C1962001	
C1970005	1970		China	C1970022	
C1972001	1972		China	C1972004	
C1972004	1972		China	C1972003	
C1976002	1976		China	C1976001	
C1976005	1976		China	C1976002	
C1977001	1977		China		
C1979002	1979		China	C1979001	
C1980002	1980		China	C1980003	
C1994002	1994		China		
C2000001	2000		China		
D1984001	1984		China	C1984011	
D1991005	1991		China	D1991003	
E1954001	1954		China	E1954005	
E1977002	1977		China		
F1952001	1952		China		
F1953003	1953		China	F1953005	
F1955001	1955		China	F1955003	
F1984003	1984		China	F1984004	
F2000004	2000		China		
F2000005	2000		China		
FV-1	2001		USA		
G1966002	1966		China	G1966001	
G1968001	1968		China	G1998001	
G1995001	1995		China	G1995005	
G1996001	1996		China	G1996005	
H1948001	1948		China		
H1954002	1954		China	H1954006	
H1954003	1954		China	I1954003	
H1970003	1970		China	I1970020	
H1972001	1972		China	I1972003	
I1957001	1957		China	I1957005	
I1970010	1970		China	I1970021	
I1975001	1975		China	I1975003	
I1986002	1986		China	I1986005	
I1987004	1987		China	I1987001	
I1992002	1992		China	I1992005	
I1997001	1997		China	I1997003	
I1997003	1997		China	I1997002	
I1998001	1998		China	I1998003	
IP1107	1995		Madagascar	128/95B	
IP1220	1985		Vietnam	Y.p. 297RR	
IP1221	1985		Vietnam	Y.p. 302LB	
IP1268	1992		Vietnam	Y.p 441 LB	
IP1283	1975		Madagascar	4/75	
IP1284	1975		Madagascar	6/75	
IP1285	1975		Madagascar	10/75	
IP1286	1976		Madagascar	3/76	
IP1287	1976		Madagascar	6/76	
IP1288	1977		Madagascar	5/77	
IP1289	1977		Madagascar	6/77	
IP1290	1978		Madagascar	1/78	
IP1291	1979		Madagascar	2/79	
IP1292	1981		Madagascar	10/81	
IP1294	1995		Madagascar	1/95	
IP1296	1996		Madagascar	14/96S	
IP1297	1996		Madagascar	37/96B	
IP1309	1996		Madagascar	8/96B	
IP1322	1996		Madagascar	22/96S	
IP1324	1996		Madagascar	24/96S	
IP1339	1996		Madagascar	41/96S	
IP1343	1996		Madagascar	46/96S	
IP1344	1996		Madagascar	47/96	
IP1349	1996		Madagascar	52/96	
IP1361	1996		Madagascar	65/96	
IP1369	1996		Madagascar	75/96	
IP1464	1996		Madagascar	143/96	
IP1478	1994		Madagascar	1/94	
IP1484	1994		Madagascar	61/94	
IP1488	1994		Madagascar	83/94	
IP1489	1994		Madagascar	84/94	
IP1490	1994		Madagascar	85/94	
IP1492	1996		Madagascar	180/96S	
IP1494	1995		Madagascar	3/95	
IP1496	1995		Madagascar	5/95	
IP1498	1995		Madagascar	9/95	
IP1510	1996		Madagascar	191/96B	
IP1511	1996		Madagascar	197/96S	
IP1512	1996		Madagascar	198/96B	
IP1513	1996		Madagascar	199/96B	
IP1514	1996		Madagascar	201/96S	
IP1521	1994		Madagascar	67/94	
IP1522	1994		Madagascar	76/94	
IP1535	1982		South Africa	164	
IP1537	1984		Namibia	254	
IP1538	1984		Namibia	272	
IP1540	1985		Namibia	292	
IP1541	1986		Namibia	340	
IP1554	1983		South Africa	253B	
IP1588	UN		Bolivia	69-57-1	
IP1589	1957		Java	5	
IP1593	1957		Java	4	
IP1594	>1974		Kurdistan	PKH 9	
IP1596	1997		Madagascar	536/97B	
IP1599	1998		Madagascar	7/98B	
IP1600	1998		Madagascar	8/98B	
IP1601	1998		Madagascar	9/98S	
IP1602	1998		Madagascar	10/98S	
IP1633	1987		Vietnam	C214	
IP1637	1987		Vietnam	C.640	
IP1697	1998		Madagascar	94/98	
IP1747	1992		USA	CO92	
IP1832	1995		Madagascar	6/95B	
IP1871	<1968		India	PB2	
IP1872	<1968		India	PB5	
IP1873	<1974		India	PB6	
IP1874	<1968		India	PB7	
IP1875	<1968		India	PB11	
IP1893	unkown		India	FN 95-419	
IP1918	<1969		India	KOLAR 9 S6 sal 144	
IP1919	<1969		India	JAUNPUR 4R8J/9	
IP1920	<1970		India	JAUNPUR 10	
IP240	1983		Madagascar	9/83	
IP241	1989		Madagascar	3/89	
IP244	1992		Madagascar	10/92	
IP245	1992		Madagascar	62/92	
IP246	1992		Madagascar	80/92	
IP247	1992		Madagascar	81/92	
IP248	1992		Madagascar	85/92	
IP249	1993		Madagascar	31/93	
IP253	1994		Madagascar	22/94	
IP259	1994		Madagascar	10/94	
IP270	1994		Madagascar	71/94	
IP272	1995		Madagascar	10/95	
IP283	1994		India		
IP304	1969		Madagascar	6/69	
IP501	1964		Germany	13	
IP504	1941		Senegal	Seydou sall	
IP505	<1964		Turkey	T10/3	
IP507	1955		Vietnam	55-720	
IP513	1964		Vietnam	64-65	
IP515	1948		Kurdistan	PKR 24	
IP516	1948		Kurdistan	PKR 18	
IP517	1947		Kurdistan	PKR 7	
IP518	1947		Kurdistan	PKH 3	
